2025-12-03 20:46:22,002 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61cf80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:22,004 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61d220>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:22,013 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61d490>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:27,024 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617530>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:27,025 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61ab70>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:27,026 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618800>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:32,028 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6199a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:32,029 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618650>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:32,033 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619520>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:37,040 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a780>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:37,041 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a4b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:37,042 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619af0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:38,450 | INFO | SCRAPER AZURE DETENIDO
2025-12-03 20:46:38,461 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61d790>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169
2025-12-03 20:46:38,462 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61d9d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169
2025-12-03 20:46:38,476 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61dbb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169
