timestamp,provider,from_region,to_region,latency_ms
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,me-central-1,160.16
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,me-south-1,170.71
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,mx-central-1,192.26
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,sa-east-1,299.31
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,us-east-1,184.21
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,us-east-2,170.23
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,us-west-1,139.09
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,us-west-2,129.28
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,af-south-1,383.54
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-east-1,52.80
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-east-2,33.70
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-northeast-1,13.23
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-northeast-2,31.72
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-northeast-3,5.86
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-south-1,140.91
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-south-2,125.81
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-southeast-1,80.60
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-southeast-2,125.50
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-southeast-3,94.53
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-southeast-4,134.79
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-southeast-5,82.19
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-southeast-6,149.68
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ap-southeast-7,102.99
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ca-central-1,161.37
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,ca-west-1,116.45
