provider,region,latency_ms,distancia_km,latencia_norm
AWS,us-west-2,164.0,1000.0,0.164
AWS,ap-east-1,179.33,1000.0,0.17933000000000002
AWS,ap-northeast-2,216.5,1000.0,0.2165
AWS,sa-east-1,222.5,1000.0,0.2225
AWS,ap-northeast-1,228.5,1000.0,0.2285
AWS,ap-northeast-3,230.67,1000.0,0.23067
AWS,ap-southeast-1,266.5,11377.091838078877,0.02342426375675639
AWS,ap-southeast-5,271.0,1000.0,0.271
AWS,ap-southeast-3,282.5,1000.0,0.2825
AWS,ap-east-2,283.0,1000.0,0.283
AWS,ap-southeast-7,293.0,1000.0,0.293
AWS,ap-southeast-2,333.5,1000.0,0.3335
AWS,ap-southeast-4,341.5,1000.0,0.3415
AWS,eu-south-2,17.0,14.256019891511317,1.1924786952719233
AWS,eu-south-1,29.5,1000.0,0.0295
AWS,eu-central-2,32.0,1000.0,0.032
AWS,eu-west-3,34.0,1039.7465062975143,0.03270027818710573
AWS,eu-west-2,35.0,1000.0,0.035
AWS,eu-central-1,38.5,1000.0,0.0385
AWS,eu-west-1,42.5,1436.8294550025428,0.029579014998634467
AWS,eu-north-1,59.0,1000.0,0.059
AWS,me-south-1,98.5,1000.0,0.0985
AWS,us-east-1,102.0,6110.697301162967,0.01669203938159197
AWS,us-east-2,109.67,1000.0,0.10967
AWS,ca-central-1,113.5,1000.0,0.1135
AWS,ap-south-1,113.67,1000.0,0.11367000000000001
AWS,me-central-1,122.0,1000.0,0.122
AWS,ap-south-2,128.67,1000.0,0.12866999999999998
AWS,af-south-1,130.0,1000.0,0.13
AWS,us-west-1,154.0,1000.0,0.154
AWS,ca-west-1,159.5,1000.0,0.1595
AWS,us-west-2,163.67,1000.0,0.16366999999999998
AWS,ap-east-1,178.0,1000.0,0.178
AWS,ap-northeast-2,216.0,1000.0,0.216
AWS,sa-east-1,227.0,1000.0,0.227
AWS,ap-northeast-3,230.0,1000.0,0.23
AWS,ap-northeast-1,229.67,1000.0,0.22966999999999999
